"ISO","year","mean_value","median_value","sd_value","min_value","max_value","count"
"UGA",2006,30,30,NA,30,30,1
"BRA",2006,29,29,NA,29,29,1
"IRQ",2003,29,29,NA,29,29,1
"RWA",2000,29,29,NA,29,29,1
"CAF",2013,28,28,NA,28,28,1
"COD",2012,28,28,NA,28,28,1
"HND",2005,28,28,NA,28,28,1
"TJK",2011,28,28,NA,28,28,1
"YEM",2005,28,28,NA,28,28,1
"COL",2016,27,27,NA,27,27,1
"GTM",2012,27,27,NA,27,27,1
"NPL",2008,27,27,NA,27,27,1
"RUS",2010,27,27,NA,27,27,1
"BDI",2008,26,26,NA,26,26,1
"BDI",2019,26,26,NA,26,26,1
"BRA",2012,26,26,NA,26,26,1
"ECU",2004,26,26,NA,26,26,1
"KWT",2016,26,26,NA,26,26,1
"LAO",2007,26,26,NA,26,26,1
"MEX",2003,26,26,NA,26,26,1
"PHL",2015,26,26,NA,26,26,1
"SAU",2004,26,26,NA,26,26,1
"YEM",2011,26,26,NA,26,26,1
"AGO",2008,25,25,NA,25,25,1
"BFA",2017,25,25,NA,25,25,1
"COG",2017,25,25,NA,25,25,1
"COL",2011,25,25,NA,25,25,1
"ECU",2009,25,25,NA,25,25,1
"ERI",2017,25,25,NA,25,25,1
"ETH",2012,25,25,NA,25,25,1
"ETH",2014,25,25,NA,25,25,1
"ETH",2015,25,25,NA,25,25,1
"GIN",2012,25,25,NA,25,25,1
"IND",2017,25,25,NA,25,25,1
"KEN",2012,25,25,NA,25,25,1
"LBR",2000,25,25,NA,25,25,1
"PHL",2012,25,25,NA,25,25,1
"PNG",2002,25,25,NA,25,25,1
"RUS",2011,25,25,NA,25,25,1
"SOM",2001,25,25,NA,25,25,1
"VEN",2013,25,25,NA,25,25,1
"AGO",2010,24,24,NA,24,24,1
"CHN",2009,24,24,NA,24,24,1
"CIV",2011,24,24,NA,24,24,1
"IND",2010,24,24,NA,24,24,1
"PHL",2006,24,24,NA,24,24,1
"RUS",2015,24,24,NA,24,24,1
"CAF",2010,23,23,NA,23,23,1
"IRN",2018,23,23,NA,23,23,1
"MLI",2017,23,23,NA,23,23,1
"THA",2003,23,23,NA,23,23,1
"UGA",2007,23,23,NA,23,23,1
"UGA",2017,23,23,NA,23,23,1
"BRA",2002,22,22,NA,22,22,1
"DZA",2016,22,22,NA,22,22,1
"IRN",2007,22,22,NA,22,22,1
"MLI",2011,22,22,NA,22,22,1
"UGA",2010,22,22,NA,22,22,1
"DZA",2007,21,21,NA,21,21,1
"DZA",2010,21,21,NA,21,21,1
"IRN",2008,21,21,NA,21,21,1
"PHL",2009,21,21,NA,21,21,1
"SAU",2016,21,21,NA,21,21,1
"TUN",2003,21,21,NA,21,21,1
"TUR",2006,21,21,NA,21,21,1
"TUR",2011,21,21,NA,21,21,1
"BGD",2017,20,20,NA,20,20,1
"BOL",2001,20,20,NA,20,20,1
"CAF",2005,20,20,NA,20,20,1
"COL",2009,20,20,NA,20,20,1
"DZA",2013,20,20,NA,20,20,1
"ERI",2004,20,20,NA,20,20,1
"HTI",2006,20,20,NA,20,20,1
"IRN",2006,20,20,NA,20,20,1
"IRQ",2002,20,20,NA,20,20,1
"NPL",2001,20,20,NA,20,20,1
"PAK",2002,20,20,NA,20,20,1
"PER",2010,20,20,NA,20,20,1
"SAU",2005,20,20,NA,20,20,1
"THA",2002,20,20,NA,20,20,1
"TUR",2002,20,20,NA,20,20,1
"CMR",2018,19,19,NA,19,19,1
"COL",2008,19,19,NA,19,19,1
"DZA",2012,19,19,NA,19,19,1
"MLI",2016,19,19,NA,19,19,1
"MMR",2000,19,19,NA,19,19,1
"MMR",2019,19,19,NA,19,19,1
"PER",2002,19,19,NA,19,19,1
"PHL",2013,19,19,NA,19,19,1
"RUS",2008,19,19,NA,19,19,1
"SEN",2000,19,19,NA,19,19,1
"YEM",2009,19,19,NA,19,19,1
"BRA",2000,18,18,NA,18,18,1
"COL",2019,18,18,NA,18,18,1
"DZA",2006,18,18,NA,18,18,1
"GTM",2006,18,18,NA,18,18,1
"HND",2009,18,18,NA,18,18,1
"HND",2011,18,18,NA,18,18,1
"HND",2012,18,18,NA,18,18,1
"LBN",2009,18,18,NA,18,18,1
"RUS",2014,18,18,NA,18,18,1
"SEN",2001,18,18,NA,18,18,1
"THA",2009,18,18,NA,18,18,1
"TUR",2019,18,18,NA,18,18,1
"UZB",2005,18,18,NA,18,18,1
"COL",2014,17,17,NA,17,17,1
"GHA",2009,17,17,NA,17,17,1
"GTM",2009,17,17,NA,17,17,1
"GTM",2016,17,17,NA,17,17,1
"IDN",2019,17,17,NA,17,17,1
"IRN",2019,17,17,NA,17,17,1
"MLI",2012,17,17,NA,17,17,1
"TJK",2012,17,17,NA,17,17,1
"TUR",2005,17,17,NA,17,17,1
"AGO",2005,16,16,NA,16,16,1
"AGO",2017,16,16,NA,16,16,1
"BFA",2019,16,16,NA,16,16,1
"BGD",2002,16,16,NA,16,16,1
"BGD",2005,16,16,NA,16,16,1
"DZA",2005,16,16,NA,16,16,1
"EGY",2014,16,16,NA,16,16,1
"LBN",2013,16,16,NA,16,16,1
"LBN",2017,16,16,NA,16,16,1
"MOZ",2017,16,16,NA,16,16,1
"NER",2008,16,16,NA,16,16,1
"PAK",2000,16,16,NA,16,16,1
"RWA",2005,16,16,NA,16,16,1
"THA",2014,16,16,NA,16,16,1
"TUN",2015,16,16,NA,16,16,1
"TUR",2004,16,16,NA,16,16,1
"UZB",2000,16,16,NA,16,16,1
"BGD",2007,15,15,NA,15,15,1
"CAF",2011,15,15,NA,15,15,1
"COG",2018,15,15,NA,15,15,1
"COL",2012,15,15,NA,15,15,1
"DZA",2015,15,15,NA,15,15,1
"EGY",2012,15,15,NA,15,15,1
"LKA",2006,15,15,NA,15,15,1
"PER",2009,15,15,NA,15,15,1
"RUS",2007,15,15,NA,15,15,1
"SEN",2004,15,15,NA,15,15,1
"TUR",2014,15,15,NA,15,15,1
"AGO",2019,14,14,NA,14,14,1
"AZE",2009,14,14,NA,14,14,1
"BRA",2008,14,14,NA,14,14,1
"CIV",2013,14,14,NA,14,14,1
"COL",2015,14,14,NA,14,14,1
"DZA",2014,14,14,NA,14,14,1
"ESP",2018,14,14,NA,14,14,1
"JOR",2017,14,14,NA,14,14,1
"RUS",2016,14,14,NA,14,14,1
"RUS",2017,14,14,NA,14,14,1
"SEN",2002,14,14,NA,14,14,1
"TUR",2007,14,14,NA,14,14,1
"USA",2016,14,14,NA,14,14,1
"AZE",2000,13,13,NA,13,13,1
"CAF",2004,13,13,NA,13,13,1
"COG",2004,13,13,NA,13,13,1
"KEN",2003,13,13,NA,13,13,1
"LKA",2005,13,13,NA,13,13,1
"MDG",2003,13,13,NA,13,13,1
"MLI",2005,13,13,NA,13,13,1
"NER",2009,13,13,NA,13,13,1
"TZA",2002,13,13,NA,13,13,1
"UGA",2009,13,13,NA,13,13,1
"BRA",2004,12,12,NA,12,12,1
"DEU",2017,12,12,NA,12,12,1
"GUY",2009,12,12,NA,12,12,1
"HND",2004,12,12,NA,12,12,1
"IRN",2001,12,12,NA,12,12,1
"IRN",2017,12,12,NA,12,12,1
"KEN",2017,12,12,NA,12,12,1
"LKA",2004,12,12,NA,12,12,1
"MLI",2006,12,12,NA,12,12,1
"MOZ",2006,12,12,NA,12,12,1
"MOZ",2019,12,12,NA,12,12,1
"MRT",2009,12,12,NA,12,12,1
"NER",2014,12,12,NA,12,12,1
"PAK",2003,12,12,NA,12,12,1
"PER",2000,12,12,NA,12,12,1
"THA",2008,12,12,NA,12,12,1
"THA",2010,12,12,NA,12,12,1
"THA",2013,12,12,NA,12,12,1
"TUR",2001,12,12,NA,12,12,1
"TUR",2010,12,12,NA,12,12,1
"DZA",2011,11,11,NA,11,11,1
"DZA",2019,11,11,NA,11,11,1
"GIN",2000,11,11,NA,11,11,1
"HTI",2000,11,11,NA,11,11,1
"IDN",2014,11,11,NA,11,11,1
"KEN",2011,11,11,NA,11,11,1
"KGZ",2000,11,11,NA,11,11,1
"MDG",2013,11,11,NA,11,11,1
"MMR",2009,11,11,NA,11,11,1
"MOZ",2014,11,11,NA,11,11,1
